porti|携带
bovokulo|舷窗
braceleto|脚镯\n手镯
brajlo|盲文
brakbendo|袖章
brakhorlogha rimeno|表带
brakhorlogho|手表
brako|臂\n胳膊\n手臂
brakringo|手镯
brakumi|拥抱
brancho|分支\n树枝\n支流\n支线\n枝
brando|白兰地\n酒
brankardo|担架
brano|麸皮\n糠
brasiko|白菜\n卷心菜\n洋白菜
brava|豪迈\n英勇\n勇敢的
bravulo|豪杰\n好汉\n英雄\n勇士
brechi|冲决\n决口
brecho|空子\n口子\n裂口\n破口\n缺口
bredi|饲养
bremsi|刹车\n止住\n制止
bremso|车闸\n制动器
breto|架
bridi|节制
bridi la chevalon antaw abismo|悬崖勒马
brido|缰绳\n辔
brigadestro|旅长
brigado|队\n旅
brigho|桥牌
brikbakujo|砖窑
briko|砖
brila|灿烂\n光辉\n光亮\n辉煌\n精彩\n亮\n卓越
brila ideo|卓见
brileco|亮度
brili|闪烁\n闪耀
brilianto|钻石
briligi|照耀
brilkolora|鲜艳
brilo|闪光
brocho|别针
brodi|刺绣\n绣花
brodkasti|放送
brogajho|肉汤
brogi|涮\n烫\n烫伤
brokato|锦缎
broki|织锦
broma lesivo|溴水
bronkito|支气管炎
bronzo|青铜
broshuri|装订
broshuro|平装书\n小册子
brosi|刷
brosi dentojn|刷牙
broso|刷子
brovo|眉\n眼眉
bruego|轰鸣\n喧哗
brui|吵闹\n喧嚷
brulajho|燃料
bruldifekti|烧伤
brulego|大火\n火灾\n失火
bruli|燃烧
bruligi|点火
bruligj|焚烧
brulligno|柴\n木柴
brullignohakisto|樵夫
brulmortigi|火刑
brulshnuro|导火线
brulstampo|烙印
brulvundi|烧伤\n烫伤
bruna|褐色\n棕色
bruna grundo|棕壤
bruna sukero|红糖
bruo|嘈杂\n声音\n喧嚣\n杂音\n噪音
brusto|胸\n胸膛
brustokiraso|胸甲
brustonagho|蛙泳
brutala|残暴\n粗暴\n粗野
bruto|家畜\n牲口
brutobredado|畜牧
bubalo|水牛
bubo|淘气鬼\n顽童
buchejo|屠宰场
buchi|残杀\n杀\n杀人\n屠杀\n屠宰\n宰杀
budao|佛
budgheto|预算
budhisma sutro|佛经
budhismo|佛教
budho|佛
budo|木板小屋\n棚
bufedejo|小吃店
bufo|蛤膜
bufro|缓冲器
bufroshtato|缓冲国
bugri|鸡奸
bukedo|花束
buklo|卷发
bulbo|洋葱
buldozo|推土机
buljono|肉汤
bulo|球块\n团块
bulteno|公报\n简报
buluo tribo|部落
bulvardo|林荫道
bumen fak|部门
bunta|多色\n杂色
buo|浮标\n肮标
burgharo|资产阶级
burghono|萌芽
burokratismo|官僚主义
burokrato|官僚
busaro|轻骑兵
bush-harmoniko|口琴
busha|口头
busha kavo|口腔
busho|口\n嘴
buso|公共汽车\n客车
busto|半身像\n上半身
busumo|笼头
butera teo|酥油茶
buterbiskvito|奶油饼干
butero|黄油\n奶油\n酥油
butikisto|掌柜
butiko|店\n铺子\n商店
buton(um)i|扣扣子
butono|扣子\n纽扣
caro|沙皇
cedema|嫌让
cedi|割让\n让\n让步\n退让
cedro|杉木\n雪松
cekumo|盲肠
celdisko|靶子
celebri|庆祝
celebro|典礼
celetrio|芹菜
celi|对准\n瞄准
celilo|瞄准器
cellinio|瞄准线
celo|目标\n目\n细胞\n宗旨
celobjekto|目标
celtabulo|靶子\n目标
celtruo|瞄准孔
celulozo|纤维素
celumi|瞄准
celumilo|瞄准器
cemento|水门汀\n水泥
cent|百
centezimala|百分
centezimala termometro|摄氏温度计
centigramo|厘克
centilitro|厘升
centimetro|公分\n厘米
centra|中间
centra linio|中线
centra registaro|中央政府
centralizi|集中
centralizismo|集权制
centre|正中
centrifugilo|离心机
centrigi|集中
centro|圆心\n中枢\n中心\n中央
centro de tertremo|震中
centuma|百分
cenzuri|检查\n审查
cepo|洋葱
ceramikajho|陶瓷
ceramiko|制陶术
cerba hemoragio|脑溢血
cerbeto|小脑
cerbo|大脑\n脑\n头脑
cerboskuo|脑震荡
cerbumi|动脑筋\n合计\n苦思\n思考
cerealo|谷类
cerebelo|小脑
ceremoniema|客气
ceremonio|典礼\n礼节\n仪式
cerezino|石蜡
certa|一定
certe|必定\n必然\n确实
certeco|把握
certigi|保证\n肯定\n确保
cerumeno|耳垢
cervo|鹿
cetera|其他\n其余
cetere|此外
chagreni|痛心
chagrenighi|发愁\n烦恼\n忧愁\n忧伤
chagreno|苦恼\n伤心
chambristino|仆人
chambro|房间\n室\n屋子
chamo|羚羊
champano|香摈酒
championo|冠军
chantaghi|讹诈\n勒索\n敲诈\n诈骗
chapelo|帽子
chapitro|篇章\n章节
chapo|帽子
char|因为
charisto|车夫
charlatani|哄骗\n招摇撞骗
charlatano|骗子
charma|迷人\n漂亮\n抚媚
charmo|魅力
charo|车\n车辆\n大车
charpentisto|木工
charto|契约\n宪章
charumo|独轮车
chasajho|猎获物
chashundo|猎犬
chasi|打猎\n猎\n狩猎\n行猎\n追求\n追逐
chasio|底盘
chasisto|猎人
chasta|贞节的\n忠贞
che|靠近
cheesti|出席
cheesti kunveno|到会
cheesti lekcion|听课
chefa|首要
chefa arterio|大动脉
chefa fluo|主流
chefa forto|主力
chefa kriidalra|祸首
chefa krimulo|主犯
chefaj punktoj|大意\n要点
chefartikolo|社论
chefepiskopo|大主教
chefgeneralo|大元帅\n元帅
chefinspektoro|总监
chefkomandanto|元帅\n总司令\n总指挥
chefkrimulo|元凶
cheflitero|大写字母
chefmanghajho|主食
chefministro|首相\n宰相\n总理
chefo|首领\n首脑\n首长\n头头\n头子
chefo de la ghenerala stabo|参谋总长
chefredaktoro|主编
chefrolo|主角
chefrolulo|主角
chefsezono|旺季
chefshlosilo|万能钥匙
chefstabejo|大本营
chefstabo|统帅部
chefurbo|国都\n京城\n首都\n首府
cheko|银行支票\n支票
chela kerno|细胞核
chelo|天空\n小室\n小组\n支部
chemizo|衬衫\n衬衣\n内衣
chenhundo|看家狗
chenkanto|轮唱
cheno|咖锁\n链子\n锁链
chensegilo|链锯\n油锯
cherizo|樱桃
cherko|棺材
cherkoveturilo|枢车
cherkveturilo|灵车
cherpi|汲\n汲取\n吸取
cherpi akvon|汲水
chesi|停\n停顿\n停止
chesigi|杜绝\n止住\n制止\n中止
chesta|纯洁
chevalino|骡马
chevalkurado|赛马
chevalo|马
chevalpovo|马力
chiam|始终\n无时无刻\n向来\n永远\n总是
chiam memori|铭记
chiam pli|越来越
chiama|永久
chiamaniere|极力\n竭力\n尽力\n拼命\n千方百计
chiamvenka|无往不胜
chiaokaze|无论如何
chicherono|导游
chie|到处\n各处\n随地
chiel|千方百计
chiela palaco|天宫
chielarko|彩虹\n虹
chieliro|升天
chielo|天\n天神
chielrugho|霞
chielskrapanto|摩天楼
chies|人人
chiesulino|妓女
chifi|揉
chifona|褴褛
chifonfiguro|稻草人
chifono|破烂
chifro|密码
chikani|吹毛求疵
chimpanzo|黑猩猩
china brasiko|大白菜
china elmigrinto|华侨
china ideografiajho|汉字
china inko|墨
china kaj okcidenta medicino en kombino|中西医结合
China Laborist-Kamparana Rugha Armeo|中国工农红军
china lingvo|中文
china medicino|中医
china nacio|中华民族
China Popola Respubliko|中华人民共和国
Chinaj Popolaj Volontuloj|中国人民志愿军
chinstila pentrajho|国画
chio|一切
chiopova|全能\n万能
chiovendejo|百货商店
chirkaw|大约
chirkaw6bari|围栏
chirkawajho|周围
chirkawataki|围攻
chirkawi|包围\n环绕\n围住
chirkawiri|环行
chirkawkolo|项链
chirkawkradi|围栏
chirkawmano|手镯
chirkawmuro|围墙
chirkawparolo|婉言
chirkawpreni|拥抱
chirkawsieghi|围攻
chirkawurbo|城郊\n郊区
chirkawvojo|绕道
chirkawvolvi|包扎\n缠绕
chirpi|唧唧
chiu|每人
chiuj|大伙儿\n大家\n全体\n所有
chiutaga|口常
chiutaga vivbezonajho|日用品
chiutaga vivo|起居
chiutage|天天
chizi|雕刻\n刻\n琢磨
chizilo|凿子
chokolado|巧克力
chusigno|问号
ci|你
cibetokato|灵猫
cico|奶头\n乳头
cifero|数目\n数字
ciferplato|表盘
cigano|茨冈人\n吉卜赛人
cigaredo|卷烟\n香烟\n烟卷儿\n纸烟
cigaro|雪茄
cigno|天鹅
cikado|蝉
cikatrighi|结疤
cikatro|疤\n疮疤\n伤疤\n伤痕
ciklono|龙卷风\n旋风
cikonio|颧
cilindra poshtkesto|信筒
cilindro|气缸\n汽缸\n圆筒\n圆柱体
cilindrobloko|汽缸座
cimbalo|铙钹
cimo|臭虫
cinabra|朱红的
cinabro|朱砂
cindro|骨灰\n灰烬
cindrujo|烟灰缸
Cindrulino|灰姑娘
cipreso|柏树
cirkelo|圆规
cirkla|圆形
cirkla segilo|圆锯
cirkle|盘旋
cirklo|圈子\n圆\n圆圈
cirko|马戏场
cirkonferenco|圆\n圆周
cirkonstanca komplemento|状语
cirkonstanco|环境\n景况\n境地\n境况\n境遇\n情况
cirkula anonco|通报
cirkula kapitalo|流动资本
cirkula sistemo|循环系统
cirkulanta mono|通货
cirkulero|传单
cirkuli|流传\n流动\n流通\n流行\n循环
cirkvito|电路
ciro|皮鞋油\n鞋油
cisterno|水池\n雨水池
cisternokamiono|油罐车
cisternoshipo|油船
cisternovagono|油罐车皮
citadelo|城堡
citajho|引文
citi|引用\n引证
citilo|引号
citrono|柠檬
civila|国内\n民事\n俗\n文
civila aviado|民航
civila inghenierado|土木工程
civila kodo|民法
civilizacio|文明
civilizi|教化
civilulo|平民
civitano|公民\n市民
civito|自由市\n自治市
colo|英寸
cunamo|海啸
daktilarbo|椰枣
daktiopalmo|椰枣
dalio|大丽花
damaghi|损坏\n损伤\n损失\n危害
damaskeni|镶嵌
damninda|万恶
dancarto|舞蹈艺术
dancejo|舞厅
danci|跳舞
Danci.Z|谢继雷
dancist(in)o|舞蹈演员
dancmuziko|舞曲
danco|舞蹈
dando|花花公子
danghera|险恶
danghera malsano|重病
danghera situacio|险境
danghero|危险
dangsheno|党参
danka|感恩\n感激
danki|道谢\n感谢\n谢谢
dank’al|多亏\n幸亏
DanSei|谢继雷
Darvinismo|达尔文主义
dato|日期
datreveno|纪念日
dawre uzi|沿用
dawri|持续\n继续\n延续
dawriganto|接班人
de|以来\n自从
de generacio al generacio|世代\n祖祖辈辈
de infaneco|从小
de la komenco|从头
de la komenco ghis la fino|始终
de tempo al tempo|经常\n时而
deadmoni|劝阻
debati|打掉\n议论\n争辩
debato|辩论\n论战
debeto|负债\n借方\n欠账
debito|畅销
deca|合适\n恰当\n时宜\n适宜\n有分寸
dece|适当\n妥善
decembro|十二月
dechevalighi|下马
dechfri|译解
decibelo|分贝
decidema|果断
decideme|坚决
decidi|决定\n预定
decidiga|决定性
decido|决心\n决议
decidua|落叶
decigramo|分克
decilitro|分升
decimala komo|小数点
decimala nombrosistemo|十进制
decimalo|小数
decimetro|分米
dedichi|献给\n献赠
dedichi sin al|致力
dedukti|推论
defalajho|碎屑
defali|没落\n脱落
defenda linio|防线
defendanto|辨护人
defendata|设防
defendi|保卫\n防守\n防御\n捍卫\n守卫\n维护\n卫护
defendi sin per argumentoj|申辩
defensivo|守势
deficito|赤字
defii|蔑视\n挑战
deflacio|通货收缩
deflankighi|偏离
defluilo|水沟
deformighi|变形
defrawdi|骗窃
defroti|磨掉
degeli|解冻\n融化\n消融
degeneri|变质\n堕落\n腐化\n衰颓\n退化\n蜕化
degradi|降职
deiri|离开\n走开
dejheti|抛掉
dejhetighi|脱落
dejhori|值班\n值日
dek|十
dekadenci|败落\n没落
dekadenco|破落\n颓废
dekalkuli|减\n扣除
dekano|系主任
deklami|朗诵
deklaracio|宣言
deklari|申明\n声明\n宣布
deklari militon|宣战
deklivo|坡\n斜坡
dekokti|熬\n煎
dekolorighi|脱色
dekonduki|引开
dekoracii|修饰\n装饰
dekoracio|布景
dekreti|发令
dekreto|法令
dekstra|右边\n右
dekstra avanulo|右锋\n右前卫
dekstra devio|右倾
dekstra mano|右手
dekstrulo|右派\n右派分子
dektra arierulo|右后卫
delegacio|代表团
delegi|选派代表
delegito|代表\n使者
delfeno|海豚
delikata|娇嫩\n娇弱\n精美\n精巧\n精细\n精致\n灵敏\n温柔\n纤弱\n纤细\n秀气\n雅致\n优雅的
delikata aromo|幽香
deliri|胡说\n说胡话
deliro|精神错乱
delogi|引诱\n诱离\n诱骗
delto|三角洲
demagogio|蛊惑
demamigi|断奶
demandi|提问\n问\n问讯\n询问\n质问
demando|问题\n疑问
demandoj kaj respondoj|问答
demandosigno|问号
demeti|脱去
demeti chapelon|脱帽
demisii|辞职
demokratia centralizismo|民主集中制
demokratia reghimo|民主政体
demokratia registaro|民主政府
demokratia revolucio|民主革命
demokratiaj partioj|民主党派
demokratio|民主\n民主政体\n民主政治
demono|恶魔\n魔鬼\n妖魔
demonstracio|论证
demonstri|示范
demonstro|论证
demoralizighi|瓦解
denaska|先天
denominatoro|分母
denove|重新
densa|稠密\n茂密\n密\n浓\n浓厚
denseco|密度\n浓度
densigi|浓缩\n压缩
dentaprotezo|假牙
dentingo|牙槽
dentistarto|牙科
dentisto|牙医
dentkarno|齿龈
dento|齿\n牙
dentobroso|牙刷
dentokarno|牙床\n牙龈
dentopasto|牙膏
dentpinglo|牙签
dentrado|齿轮
denunci|告发\n告密\n揭发\n声讨
departemento|部\n部门
dependa|从属\n附属
dependi de|取决\n依靠\n依赖
deponakvitanco|存放
deponanto|存款户
deponi|储蓄\n积蓄\n寄存
deponita mono|存款
depost|以后\n以来\n自从
depreni|拿开
depresio|不景气\n萧条
deprimi|丧气\n消沉\n泄气
deprimighi|懊丧\n灰心
deprimigho|气馁
deprunti|借来
depushi|推掉\n推开
deputi|选派代表
derivi|派生
dermatologio|皮肤科
dermatozo|皮队病
dermito|皮炎
dermo|真皮
derompi|掐断\n折断
des pli|愈
des pli…|越…越…
desegnajho|图纸
desegni|描\n描绘
desegno|图案
desegnonajlo|图钉
desegnopapero|图纸
desekco|切除
deshiri floron|折花
desinfekti|杀菌\n消毒
desinfektilo|消毒器
despota grandsinjoro。|豪绅
despotismo|暴政\n独裁\n独裁政治\n专制
despoto|暴君\n豪强\n专制君主
destini|预定\n注定
destino|命运
detala|详细
detala listo|清单
detalaj reguloj|细则
detalajho|底细
detali|零售
detalisto|零售商\n小贩
detalo|细节\n详情
detektivo|暗探\n秘密警察\n侦探
deteni|克制\n抑制
detenighema|谨慎
determini|测定\n判定\n判断\n确定\n限定\n修饰
determinismo|定命论\n决定论
detronigi|废黜
detrui|摧毁\n毁坏\n毁灭\n破坏\n损坏
detruighi|覆灭
deturnighi|转移
devaluti|贬值
devaluto|货币贬值
deveni|出身
deveno|来历\n来源\n起源
devi|必须\n要\n应当\n应该
devia angulo|偏角
deviga laboro|劳役
devigi|逼迫\n迫使\n强加\n强制\n强迫\n胁迫\n压服
devigita|被迫
devigite|不得不
devii|偏离\n偏向
devio|偏差
devizo|格言\n口号\n外汇汇票\n座右铭
devo|本分\n勤务\n义务\n责任
devojighi|迷路\n走入歧途
dezerta|荒凉\n荒芜\n空荡荡\n无人烟
dezerto|荒漠\n沙漠
dezir0|志愿
deziri|希望\n想望\n愿意\n祝愿
deziro|心愿\n欲望\n愿望
diabeto|糖尿病
diablo|恶魔\n鬼\n魔鬼\n妖魔
diabolo|空竹
diafana|半透明
diafragmo|光圈
diagnozo|诊断
diagramo|图表\n图解
dialektika materiismo|辩证唯物论
dialektiko|辩证法
dialekto|方言\n土话
dialogo|对话
diamanto|金刚石\n钻石
diametro|直径
diareo|拉肚子\n拉稀
diatermio|烤电
dibocha|放荡\n淫荡
dibochado|荒淫
dibocho|淫乐
difekti|毁坏\n击伤\n被损\n损坏\n损伤\n糟踏
difekto|缺点\n缺陷
diferencialo|微分
diferencigi|分辨\n分别\n判别\n区别\n区分
diferenco|差别\n差异\n分歧
diferenco en temperaturo|温差
diferncigi|辨别
difina artikolo|定冠词
difini|标定\n规定\n划定\n决定\n确定\n指定
difino|定义
digesti|消化
digestiga|助消化的
digna|威严\n尊严的
digno|体面\n自尊\n尊严
digo|圩
diigenta|辛勤
dika|粗\n厚\n胖
dikeco|厚度
dikfingro|大拇指
diklina|雌雄异株
diktafono|录音机
diktatora|专横
diktatoreco|独裁
diktatoro|独裁者
diktaturo|专政
dikti|口述
dikulo|胖子
dilemo|困境
diletanto|业余爱好者
diligenta|勤奋\n勤快\n勤劳\n勤勉
diligente|刻苦\n用功
diligente lerni|攻读
dilui|冲淡\n稀释
diluvo|洪水
dimancho|礼拜天\n星期日
dimensio|尺寸
dinamiko|动力学
dinamito|炸药
dinastio|朝代\n王朝
dinosawro|恐龙
dio|上帝\n天神
Dipatrino|圣母
diplomatia sendito|使节
diplomatio|外交
diplomato|外交官
diplomitighi|毕业
diplomo|文凭\n证明书\n执照
direkcio|理事会
direktbastono|指挥棒
direkti|操纵\n经营\n指导\n指点\n指挥\n指向\n指引
direktighi al|转向
direktivo|指示
direkto|方向
direktoro|经理\n理事\n校长\n主任
diri|陈述\n告诉\n讲\n说\n诉说
disa|分散\n稀疏
disawdigi|播音\n放送
disawdigo|广播
disbati|打碎
dischiplo|弟子\n门徒\n信徒
dischplo|徒弟
disciplinemo|纪律性
disciplino|纪律
discrvo|祭神
disdiri|散布
disdoni|分发\n散发
disenterio|赤痢\n痢疾
diserigi|支解
disertacio|论文\n学术论文
disertajho|论文\n学术论文
diservo|礼拜
disfaldi|摊开\n展开
disfali|崩溃\n倒塌\n覆灭\n垮台\n瓦解
disfamigi|传扬
disfandi|熔化
disflui|流散
disighi|分别\n分离\n散开\n四散
disigi|分开\n疏散
disigismo|分散主义
disipi|挥霍
disiri|散开\n走散
disjheti|散布
disko|唱片\n铁饼
diskonig|传播
diskonigi|散布
diskonto|贴现
diskreski|蔓生
diskreta|持重\n谨慎\n慎重\n适度\n有分寸
diskrete|审慎
diskriminacio|歧视
diskuti|商量\n商谈\n商议\n谈论\n讨论\n研讨\n议论
diskuto|讨论会
dismembrigi|分割\n支解
disonanco|杂音
dispeciga mashino|粉碎机
dispecighi|破碎
dispecigi|打碎\n粉碎
dispeli|驱散
dispepsio|食积\n消化不良
disperdi|失散
displekti|解开
disponi|支配
dispozicio|部署
disputi|争论
disputo|纠纷
disrevigho|幻灭
disrompi|打碎
dissegi|踞开
dissemi|传播
disshawmighi|泡影
dissonado|杂音
distanci|相隔
distanco|距离
distili|蒸馏
distililo|蒸馏器
distilita akvo|蒸馏水
distingi|辨别\n分辨\n分别\n判别\n区别\n区分\n识别
distingigha|突出
distingighi|显现
distordi|歪曲
distordighi|变形
distri|娱乐
distribui|发行\n分发\n分配
distrighema|分心\n心不在焉
distrighi|消遣
distrikto|地区\n区\n行政区
distrumpeti|鼓吹
disvastigi|传播\n扩充\n扩展\n推广\n宣扬
disvolvi|发挥\n发扬\n开展\n摊开\n演变\n展开
disvolvighanta lando|发展中国家
disvolvighi|进展
disvolvigi|发展
diuno|昼夜
divdi laborn|分工
diveni|猜\n占卜
divenisto|算命先生\n占卜者
diversa|各种各样
diverskolora|杂色
diversspeca|各种各样
dividanto|除数
dividendo|股息\n红利
dividi|分肥\n分割\n分化\n划分
dividi familian havajhon|分家
dividi la rabajhon (shtelajhojn)|分赃
divido|除法
divido de ghojo kaj sufero|同甘苦
diviziestro|师长
divizio|师\n师团
dizelo|柴油机\n内燃机
dizeloleo|柴油
dizerti|开小差
dizertinto|逃兵
docento|讲师
doganisto|海关人员
dogano|关税\n海关
doganpago|关税
dogmaro|教义
dogmeme|武断
dogmismo|教条主义
dogmo|教条\n信条
doko|船坞\n码头
doktoro|博士\n医师
doktrin|教义
doktrino|理论\n学说\n主义
dokumento|文件
dokumento prezentata al superulo|呈文
dokumentujo|公文包
dolaro|美元
dolcha|甜\n甜蜜
dolcha dormo|酣睡
dolchaa songho|酣梦
dolchakva fisho|淡水鱼
dolori|痛心
doloro|苦痛\n疼痛\n痛苦
domagha|可惜
domaghi|爱惜\n吝惜
dombloko|街区
dombro|冬不拉
dometi|小睡
domkolorigisto|油漆工
domo|房屋\n家\n屋宇
domomastrino|主妇
domposedanto|房主
donacajho|礼品
donacema|慷慨
donaci|捐赠\n捐献\n馈赠\n赏赐\n献给\n赠送
donaco|礼品\n献礼\n赠品
doni|给
doni bankedon|设宴
doni ekzemplon|示范
doni konsilon|指教
doni lecionon|授课
doni lekcion|演讲
doni premion|授奖
donitajho|数据
dorlotato|宠儿
dorloti|宠爱\n娇惯\n娇养\n溺爱\n钟爱
dorlotita|任性
dormejo|宿舍
dormema|瞌睡
dormeti|打盹儿
dormi|睡
dormi trankvile|安息
dormigi|催眠
dormochambro|寝室\n卧室
dormomalsano|睡眠病
dormosako|睡袋
dornejo|荆棘丛
dorno|刺
dorsa|反面
dorsdirekte|向后
dorse|向后
dorso|背面\n脊梁\n脊背
dorsonagho|仰泳
dorssako|背袋
doto|嫁妆\n妆奁
dozo|剂量\n一服
dragi|疏导\n硫浚
dragmashino|挖泥机
drako|龙
drakregho|龙王
dramisto|剧作家
dramo|剧\n剧本
drapo|呢绒
drashejo|打谷场
drashi|打场\n打谷\n脱粒
drashmashino|打谷机\n脱粒机
drasta|激烈\n急剧\n烈性\n猛烈\n强烈
drata retajho|铁丝网
drato|金属线
drattolo|窗纱
dreni|排水\n排泄
dreni inundakvon|排涝
drenilo|排水管
dresi|驯
drili|钻
drilo|钻机
drinkejo|酒馆
drinkemulo|酒鬼
